,name,salary_from,salary_to,salary_currency,area_name,published_at
0,Специалист по проведению общих собраний собственников в сфере ЖКХ,50000.0,120000.0,RUR,Зеленоград,2022-12-26T00:55:32+0300
1,Журналист-редактор,,50000.0,RUR,Санкт-Петербург,2022-12-26T00:07:53+0300
2,Инженер-электронщик,80000.0,80000.0,RUR,Санкт-Петербург,2022-12-26T00:24:32+0300
3,Механик,,,,Белгород,2022-12-26T00:15:00+0300
4,Дизайнер/Графический дизайнер/Графический (web) дизайнер,35000.0,50000.0,RUR,Саранск,2022-12-26T00:27:56+0300
5,PHP-программист middle laravel,4000.0,,BYR,Минск,2022-12-26T00:15:17+0300
6,Менеджер по продукту / Бренд менеджер,70000.0,130000.0,RUR,Москва,2022-12-26T00:53:24+0300
7,Кромщик/оператор кромкооблицовочного станка,70000.0,80000.0,RUR,Люберцы,2022-12-26T00:39:09+0300
8,Senior Product Manager,,,,Санкт-Петербург,2022-12-26T00:02:09+0300
9,Java/Kotlin developer,,,,Москва,2022-12-26T00:41:13+0300
10,Руководитель проектов,,,,Череповец,2022-12-26T00:21:35+0300
11,Главный механик,40600.0,40600.0,RUR,Ярославль,2022-12-26T00:57:26+0300
12,Руководитель отдела/направления ИБ,,,,Москва,2022-12-26T00:05:53+0300
13,Ведущий аналитик (ценные бумаги),,,,Самара,2022-12-26T00:36:00+0300
14,Программист 1C (Удаленный формат работы),100000.0,250000.0,RUR,Москва,2022-12-26T00:12:08+0300
15,Менеджер отдела сервиса (Кассовое оборудование),80460.0,86200.0,RUR,Москва,2022-12-26T00:15:26+0300
16,Senior Android разработчик (удаленно),350000.0,,RUR,Санкт-Петербург,2022-12-26T00:01:32+0300
17,DevOps engineer,,,,Москва,2022-12-26T00:41:13+0300
18,Tech Lead Java,,,,Москва,2022-12-26T00:41:13+0300
19,Руководитель проектов 1C,150000.0,300000.0,RUR,Москва,2022-12-26T00:12:09+0300
20,Lead DevOps,,,,Москва,2022-12-26T00:41:13+0300
21,Аналитик 1С (WMS системы),,130000.0,RUR,Москва,2022-12-26T00:12:09+0300
22,Аналитик 1С (Налоговый мониторинг),,,,Москва,2022-12-26T00:12:09+0300
23,Дизайнер - Менеджер стройки,100000.0,,RUR,Москва,2022-12-26T01:31:43+0300
24,Аналитик данных,,,,Владивосток,2022-12-26T01:49:29+0300
25,Product manager / Продакт менеджер,150000.0,250000.0,RUR,Москва,2022-12-26T01:43:58+0300
26,Менеджер по развитию программ лояльности,,,,Москва,2022-12-26T01:44:03+0300
27,Product Owner (Карточные продукты),,,,Москва,2022-12-26T01:01:17+0300
28,Региональный менеджер,68750.0,120000.0,RUR,Екатеринбург,2022-12-26T01:41:37+0300
29,Программист 1С-Системный администратор,75000.0,,RUR,Воронеж,2022-12-26T01:54:04+0300
30,Токарь,90000.0,,RUR,Москва,2022-12-26T01:54:06+0300
31,Junior project manager в web-студию,35000.0,60000.0,RUR,Минск,2022-12-26T01:36:42+0300
32,Инженер слаботочных систем,,,,Москва,2022-12-26T01:10:05+0300
33,Strong Middle React Engineer,,,,Алматы,2022-12-26T01:38:13+0300
34,Product Owner в дивизион «Защитные страховые продукты и сервисы»,,,,Москва,2022-12-26T01:00:45+0300
35,Техник по обслуживанию пожарных сигнализаций,60000.0,,RUR,Москва,2022-12-26T01:10:22+0300
36,Сервисный инженер по ремонту холодильного оборудования / холодильщик,60000.0,,RUR,Санкт-Петербург,2022-12-26T01:49:53+0300
37,Специалист по внедрению и сопровождению экономического ПО на платформе Гедымин,2500.0,,BYR,Минск,2022-12-26T01:20:00+0300
38,Team lead of Analytics & Projects stream,,,,Алматы,2022-12-26T01:21:40+0300
39,Senior/Lead Python Developer,,,,Алматы,2022-12-26T01:45:24+0300
40,Senior/Lead Scala Developer,,,,Алматы,2022-12-26T01:48:35+0300
41,Стажёр 2D-художник персонажей,15000.0,30000.0,RUR,Санкт-Петербург,2022-12-26T02:19:59+0300
42,Механик,,,,Магадан,2022-12-26T02:29:04+0300
43,Инженер поддержки бизнес-приложений (стажер),,,,Москва,2022-12-26T02:27:09+0300
44,Product Designer / Продуктовый дизайнер / UI дизайнер (удаленно),200000.0,300000.0,RUR,Москва,2022-12-26T02:03:01+0300
45,Менеджер проекта,,,,Москва,2022-12-26T02:07:12+0300
46,"Back-end разработчик - стажер (php, Java/Kotlin)",15000.0,30000.0,RUR,Минск,2022-12-26T02:03:25+0300
47,Механик клинингового оборудования,70000.0,100000.0,RUR,Москва,2022-12-26T02:35:17+0300
48,Ведущий инженер сопровождения прикладных банковских сервисов (автоматизированных систем),,,,Хабаровск,2022-12-26T02:47:57+0300
49,Специалист аналитической службы,68000.0,,RUR,Благовещенск (Амурская область),2022-12-26T02:35:08+0300
50,Python разработчик (проект Лаборатория измерительных систем),,,,Санкт-Петербург,2022-12-26T02:06:32+0300
51,Python разработчик (проект Лаборатория измерительных систем),,,,Москва,2022-12-26T02:06:32+0300
52,Инженер по тестированию техники,60000.0,70000.0,RUR,Артем,2022-12-26T02:10:40+0300
53,Ведущий инженер-программист,95000.0,99000.0,RUR,Владивосток,2022-12-26T02:00:37+0300
54,Аналитик данных/Middle Data scientist (Computer Vision),,,,Санкт-Петербург,2022-12-26T02:12:36+0300
55,Программист 1С,170000.0,210000.0,RUR,Владивосток,2022-12-26T02:20:40+0300
56,Аналитик данных/Middle Data scientist (Computer Vision),,,,Москва,2022-12-26T02:12:36+0300
57,DevOps (удаленная работа),,,,Москва,2022-12-26T02:15:16+0300
58,Python разработчик (проект Лаборатория измерительных систем),,,,Череповец,2022-12-26T02:06:32+0300
59,Техник,35000.0,35000.0,RUR,Хабаровск,2022-12-26T02:20:01+0300
60,Начальник Сектора сопровождения и развития ДБО,,,,Владивосток,2022-12-26T02:46:29+0300
61,Аналитик данных/Middle Data scientist (Computer Vision),,,,Череповец,2022-12-26T02:12:36+0300
62,Редактор контента о картах и сбережениях,,,,Москва,2022-12-26T02:27:12+0300
63,Инженер по тестированию техники,60000.0,70000.0,RUR,Новый (Приморский край),2022-12-26T02:10:40+0300
64,Инженер по тестированию техники,60000.0,70000.0,RUR,Вольно-Надеждинское,2022-12-26T02:10:40+0300
65,Программист / разработчик 1С (подработка),,,,Москва,2022-12-26T02:23:00+0300
66,Линейный механик,130000.0,190000.0,RUR,Хабаровск,2022-12-26T03:47:17+0300
67,Руководитель службы эксплуатации ЦОД (релокация),180000.0,,RUR,Иркутск,2022-12-26T03:28:49+0300
68,Сервисный инженер,150000.0,,RUR,Москва,2022-12-26T03:23:29+0300
69,Дизайнер,50000.0,55000.0,RUR,Владивосток,2022-12-26T03:10:43+0300
70,Главный механик (Хабаровск),130000.0,,RUR,Хабаровск,2022-12-26T03:56:01+0300
71,Контент-менеджер,45000.0,45000.0,RUR,Благовещенск (Амурская область),2022-12-26T03:11:56+0300
72,Руководитель проектов,40000.0,,RUR,Биробиджан,2022-12-26T03:31:07+0300
73,Специалист технической поддержки,30000.0,45000.0,RUR,Братск,2022-12-26T03:32:06+0300
74,Графический дизайнер на digital-макеты,,,,Санкт-Петербург,2022-12-26T03:15:22+0300
75,Токарь-универсал (АО СибЭР),60000.0,85000.0,RUR,Новосибирск,2022-12-26T03:15:07+0300
76,Токарь,30000.0,,RUR,Прокопьевск,2022-12-26T03:35:12+0300
77,Разработчик C#,80000.0,200000.0,RUR,Новосибирск,2022-12-26T03:23:20+0300
78,Программист 1С,90000.0,,RUR,Благовещенск (Амурская область),2022-12-26T03:02:39+0300
79,Менеджер по продлению договоров и сопровождению клиентов,55000.0,,RUR,Красноярск,2022-12-26T03:22:21+0300
80,Менеджер СМК (бизнес-аналитик),35000.0,,RUR,Биробиджан,2022-12-26T03:25:28+0300
81,Инженер-теплотехник/монтажник,60000.0,100000.0,RUR,Новосибирск,2022-12-26T03:55:51+0300
82,Оператор станка с ЧПУ лазерной и плазменной резки,50000.0,,RUR,Барнаул,2022-12-26T03:51:11+0300
83,Специалист личной поддержки Теле2,35000.0,45000.0,RUR,Иркутск,2022-12-26T03:53:24+0300
84,Руководитель транспортного отдела,50000.0,,RUR,Якутск,2022-12-26T03:54:48+0300
85,Оформитель торгового комплекса (д. Елино),45000.0,55000.0,RUR,Зеленоград,2022-12-26T03:19:32+0300
86,Фрезеровщик 5 разряда (АО СибЭР),65000.0,85000.0,RUR,Новосибирск,2022-12-26T03:18:47+0300
87,Токарь-расточник 5 разряда (АО СибЭР),70000.0,,RUR,Новосибирск,2022-12-26T03:18:05+0300
88,Middle программист 1С,150000.0,170000.0,RUR,Владивосток,2022-12-26T03:53:25+0300
89,Junior программист 1С,50000.0,80000.0,RUR,Владивосток,2022-12-26T03:54:05+0300
90,"Мастер сервисного центра, ТЦ Фортуна Гранд",32300.0,,RUR,Иркутск,2022-12-26T03:58:24+0300
91,Оформитель торгового комплекса,28800.0,31100.0,RUR,Челябинск,2022-12-26T03:19:44+0300
92,Оформитель торгового комплекса (улица Кузоваткина),39000.0,47000.0,RUR,Нижневартовск,2022-12-26T03:19:31+0300
93,Главный специалист отдела информационных технологий и связи,,,,Барнаул,2022-12-26T04:07:10+0300
94,Дизайнер,,,,Новосибирск,2022-12-26T04:17:13+0300
95,Дизайнер-иллюстратор,40000.0,,RUR,Красноярск,2022-12-26T04:52:19+0300
96,React - разработчик | React Developer в продукт,,,,Санкт-Петербург,2022-12-26T04:37:56+0300
97,DevOps / Системный администратор,40000.0,,RUR,Волгоград,2022-12-26T04:13:32+0300
98,Менеджер группы по операционной эффективности и цифровизации,,,,Междуреченск,2022-12-26T04:50:34+0300
99,Специалист по мониторингу систем спутникового слежения,,,,Краснообск,2022-12-26T04:48:38+0300
100,Механик на производстве,80000.0,,RUR,Усть-Илимск,2022-12-26T04:44:36+0300
101,Системный администратор,60000.0,60000.0,RUR,Иркутск,2022-12-26T04:09:44+0300
102,Разработчик C/C++,,,,Новосибирск,2022-12-26T04:18:07+0300
103,Сетевой администратор,60000.0,,RUR,Владивосток,2022-12-26T04:33:18+0300
104,Инженер сервисной службы,40000.0,70000.0,RUR,Красноярск,2022-12-26T04:56:15+0300
105,Механик на производстве,80000.0,,RUR,Братск,2022-12-26T04:45:32+0300
106,Менеджер группы по операционной эффективности и цифровизации,,,,Новосибирск,2022-12-26T04:50:28+0300
107,Менеджер группы по операционной эффективности и цифровизации,,,,Казань,2022-12-26T04:50:38+0300
108,Сервис-инженер промышленного оборудования,,,,Иркутск,2022-12-26T04:08:12+0300
109,Менеджер группы по операционной эффективности и цифровизации,,,,Новокузнецк,2022-12-26T04:50:13+0300
110,Специалист по составлению плана расстановки товар (м. Березовая роща),34000.0,43000.0,RUR,Новосибирск,2022-12-26T04:24:28+0300
111,Проектный менеджер,55000.0,115000.0,RUR,Владивосток,2022-12-26T04:17:47+0300
112,Специалист нормативно-справочной информации,,,,Прокопьевск,2022-12-26T04:53:11+0300
113,"Специалист технической поддержки программного обеспечения (м. Березовая роща, улица Писарева, 175)",30000.0,,RUR,Новосибирск,2022-12-26T04:24:28+0300
114,Сервисный инженер центра инжинирингового сервиса (Мирнинский ГОК),,,,Челябинск,2022-12-26T04:53:04+0300
115,Специалист службы поддержки,45000.0,55000.0,RUR,Владивосток,2022-12-26T04:17:47+0300
116,Специалист нормативно-справочной информации,,,,Новосибирск,2022-12-26T04:52:47+0300
117,Инженер-программист микроконтроллеров/разработчик IoT-устройств,,,,Новосибирск,2022-12-26T04:18:03+0300
118,Сервисный инженер центра инжинирингового сервиса УГОК,,,,Санкт-Петербург,2022-12-26T04:53:04+0300
119,DevOps инженер,,,,Владивосток,2022-12-26T04:51:18+0300
120,Инженер-программист,60000.0,,RUR,Владивосток,2022-12-26T04:35:30+0300
121,Сервисный инженер центра инжинирингового сервиса (Мирнинский ГОК),,,,Екатеринбург,2022-12-26T04:53:04+0300
122,Инженер АСУ ТП,,,,Искитим,2022-12-26T04:53:32+0300
